product_online,price_online,category,labels
"XPAND - Rechargeable Active RF/Bluetooth 3D Glasses - Black""",39.99,Electronics,1
"Brother - DS-620 Mobile Color Page Scanner - White""",119.99,Electronics,1
"ZAGG - InvisibleShield HD Clear Screen Protector for Samsung Galaxy Tab A 9.7 - Clear""",14.99,Electronics,1
"Turtle Beach - Ear Force XO SEVEN PRO Gaming Headset for Xbox One - Black/Green""",106.99,Electronics,1
"Lutron - Caseta Wireless Smart Bridge Kit - White""",99.99,Electronics,1
"Parallels Desktop 11 for Mac - Mac""",69.99,Electronics,1
47875849983,9.99,Electronics,1
"Microsoft - Xbox One Media Remote - Black""",24.99,Electronics,1
"Mario Kart 8 - Nintendo Wii U""",59.99,Electronics,1
"mophie - Juice Pack External Battery Case for Samsung Galaxy S7 - Black""",99.99,Electronics,1
"NETGEAR - AC1200 Dual-Band Gigabit Wi-Fi Range Extender - White""",98.99,Electronics,1
"Sony - Passive 3D Glasses - Black""",9.99,Electronics,1
"Dyson - AM07 Tower Fan - White/Silver""",399.99,Electronics,1
Breville - ikon Electric Kettle - Stainless-Steel/Black,79.99,Electronics,1
"Garmin - Suction Cup Mounting Kit for Nüvi 25x5 and 50 Series GPS""",24.99,Electronics,1
"WowWee - MiP Robot - White/Black""",66.99,Electronics,1
Shark - Rotator Professional Lift-Away HEPA Bagless 3-in-1 Upright Vacuum - Red,219.99,Electronics,1
"Brother - ADS-1500W Compact Wireless Color Desktop Scanner with Duplex and Web Connectivity - White""",179.99,Electronics,1
"OtterBox - Commuter Series Case for Samsung Galaxy S 5 Cell Phones - Black""",39.99,Electronics,1
"NETGEAR - Nighthawk DST AC1900 Wireless-AC Gigabit Router with DST Adapter - Black""",229.99,Electronics,1
"Plantronics - Voyager 5220 Bluetooth Headset""",119.99,Electronics,1
"Skullcandy - Crusher Over-the-Ear Headphones - Black""",99.99,Electronics,1
"TomTom - GO 60 S 6"" GPS with Lifetime Map and Traffic Updates - Black""",NA,Electronics,1
"Microsoft - Xbox One Play & Charge Kit - Black""",24.99,Electronics,1
"PDP - Rock Candy Controller for Nintendo Wii - Blue""",19.99,Electronics,1
"VIZIO - 5.1-Channel Soundbar System with Wireless 6"" Subwoofer and Rear Satellite Speakers - Black""",349.99,Electronics,1
"NETGEAR - Nighthawk X8 AC5300 Tri-Band Quad Stream Wireless-AC Router - Black""",382.99,Electronics,1
"NETGEAR - AC1200 Dual-Band Gigabit Wi-Fi Range Extender - White""",98.99,Electronics,1
"NETGEAR - Nighthawk X8 AC5300 Tri-Band Quad Stream Wireless-AC Router - Black""",382.99,Electronics,1
"Canon - MAXIFY MB2320 Wireless All-In-One Printer - Black""",89.99,Electronics,1
Oster - DuraCeramic Flip Waffle Maker - Charcoal,29.99,Electronics,1
"LEGO Jurassic World - Xbox One""",39.99,Electronics,1
"TomTom - VIA 1515M 5"" GPS with Lifetime Map Updates - Black/Gray",99.99,Electronics,1
"Brother - ADS-1500W Compact Wireless Color Desktop Scanner with Duplex and Web Connectivity - White""",179.99,Electronics,1
"Garmin - Suction Cup Mounting Kit for Nüvi 25x5 and 50 Series GPS""",24.99,Electronics,1
"Sony - DUALSHOCK 4 Wireless Controller for PlayStation 4 - Black""",59.99,Electronics,1
"Epson - WorkForce WF-3620 Wireless All-In-One Printer - Black""",89.99,Electronics,1
"Brother - DS-620 Mobile Color Page Scanner - White""",119.99,Electronics,1
"SanDisk - Ultra 128GB USB 3.0 Flash Drive - Black""",119.99,Electronics,1
Samsung - DVD Player with HD Upconversion - Black,44.99,Electronics,1
"Epson - WorkForce WF-2650 Wireless All-In-One Printer - Black""",69.99,Electronics,1
"Mario Kart 8 - Nintendo Wii U""",59.99,Electronics,1
622356536813,NA,Electronics,1
"Epson - WorkForce Pro WF-4630 Wireless All-In-One Printer - Black""",199.99,Electronics,1
"Linksys - Wireless-AC USB 3.0 Adapter - Black""",57.99,Electronics,1
"HP - ENVY Desktop - Intel Core i5 - 12GB Memory - 2TB Hard Drive - Brushed Metal""",699.99,Electronics,1
"Microsoft - Xbox One Play & Charge Kit - Black""",24.99,Electronics,1
"Logitech - H600 Wireless Headset - Black""",49.99,Electronics,1
Shark - Rocket DeluxePRO Bagless Vacuum - Lavender,189.99,Electronics,1
"Misfit - Flash Activity Tracker - Onyx""",29.99,Electronics,1
"Turtle Beach - Ear Force XO SEVEN PRO Gaming Headset for Xbox One - Black/Green""",106.99,Electronics,1
"Legrand/Pass & Seymour - USB In-Wall Charging Outlet - White""",17.99,Electronics,1
"Apple - Apple TV® - Black""",69.99,Electronics,1
50644724619,19.99,Electronics,1
"Logitech - Keys-to-Go Bluetooth Keyboard - Blue""",49.99,Electronics,1
"Texas Instruments - BA II PLUS Financial Calculator""",31.99,Electronics,1
"Logitech - H600 Wireless Headset - Black""",49.99,Electronics,1
"Canon - PowerShot SX530 HS Digital Camera - Black""",279.99,Electronics,1
"THINKWARE - H50 HD Dash Camera - Black""",59.99,Electronics,1
"SanDisk - Cruzer Glide 128GB USB 2.0 Flash Drive - Black""",99.99,Electronics,1
"THINKWARE - H50 HD Dash Camera - Black""",59.99,Electronics,1
"Epson - Expression Home XP-430 Small-in-One Wireless All-In-One Printer""",59.99,Electronics,1
"Turtle Beach - Ear Force XO SEVEN PRO Gaming Headset for Xbox One - Black/Green""",106.99,Electronics,1
"BRAVEN - Portable Bluetooth Speaker - Black""",99.99,Electronics,1
"Samsung - UBD-K8500 4K Ultra HD Wi-Fi Built-In Blu-ray Player - Black""",399.99,Electronics,1
"Sony - DUALSHOCK 4 Wireless Controller for PlayStation 4 - Wave Blue""",64.99,Electronics,1
"Epson - WorkForce WF-7620 Wireless Wide-Format All-In-One Printer - Black""",199.99,Electronics,1
"ZAGG - InvisibleShield HD Clear Screen Protector for Samsung Galaxy Tab A 9.7 - Clear""",14.99,Electronics,1
"Seagate - Backup Plus Slim 1TB External USB 3.0/2.0 Portable Hard Drive - Black""",59.99,Electronics,1
"Acrobat Standard DC - Windows""",299.99,Electronics,1
Targus - 90W AC Power Adapter for Select Laptops - Black,59.99,Electronics,1
"Philips - 9"" Dual-Screen Portable DVD Player - Black""",129.99,Electronics,1
Yamaha - 650W 5.1-Channel 3D Home Theater System - Black,459.99,Electronics,1
"BISSELL - Lift-Off Deep Cleaner Pet Carpet Cleaner - Black""",229.99,Electronics,1
"Apple - Apple TV® - Black""",69.99,Electronics,1
Lowepro - Newport 10 Camera Case - Black/Slate Gray,9.99,Electronics,1
5351035,999.99,Electronics,1
"NETGEAR - AC1200 Dual-Band Gigabit Wi-Fi Range Extender - White""",98.99,Electronics,1
"Apple - Apple TV® - Black""",69.99,Electronics,1
"Epson - WorkForce Pro WF-4630 Wireless All-In-One Printer - Black""",199.99,Electronics,1
"SanDisk - Ultra 32GB Micro USB/USB 3.0 Flash Drive - Black""",24.99,Electronics,1
"Chamberlain - MyQ Garage Door Controller - Black""",99.99,Electronics,1
"BRAVEN - Portable Bluetooth Speaker - Black""",99.99,Electronics,1
Garmin - Portable Auto Friction Mount for Select Garmin GPS,17.99,Electronics,1
"Olympus - ME-52 Lavalier Microphone - Black""",19.99,Electronics,1
"Microsoft - Xbox One Play & Charge Kit - Black""",24.99,Electronics,1
"Epson - Expression ET-2550 EcoTank Wireless All-In-One Printer - Black""",299.99,Electronics,1
Protocol - Dronium One RC Drone - Orange/Black,99.99,Electronics,1
"Far Cry 4: Complete Edition - PlayStation 4""",39.99,Electronics,1
"Belkin - MIXIT 4' Metallic Lightning to USB Cable - Rose Gold""",24.99,Electronics,1
"Microsoft - Xbox One Play & Charge Kit - Black""",24.99,Electronics,1
"Energizer - MAX Batteries AA (4-Pack)""",4.99,Electronics,1
LEGO Jurassic World - Xbox One,39.99,Electronics,1
"Sony - DUALSHOCK 4 Wireless Controller for PlayStation 4 - Glacier White""",64.99,Electronics,1
"Canon - PIXMA MG7720 White Wireless All-In-One Printer - White""",129.99,Electronics,1
"Splatoon - Nintendo Wii U""",59.99,Electronics,1
"Epson - WorkForce WF-7620 Wireless Wide-Format All-In-One Printer - Black""",199.99,Electronics,1
"OtterBox - Defender Series Case for Samsung Galaxy S7 Cell Phones - Pink""",49.99,Electronics,1
"Canon - PIXMA MX922 Network-Ready Wireless All-In-One Printer - Black""",99.99,Electronics,1
"Lenovo - Yoga 900 13.3"" 2-in-1 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver",NA,Electronics,1
Cuisinart - Elementals 8-Cup Food Processor - Gunmetal,99.99,Electronics,1
"NETGEAR - Nighthawk AC1900 Dual-Band Gigabit Wi-Fi Range Extender - Black""",149.99,Electronics,1
"Plantronics - Voyager Edge Bluetooth Headset with Charging Case - Black""",129.99,Electronics,1
"Nest - Cam Security Cameras (3-Pack)""",499.99,Electronics,1
Scosche - reVIVE II Dual-USB Auto Adapter,11.99,Electronics,1
Scosche - reVIVE II Dual-USB Auto Adapter,12.99,Electronics,1
712725027032,13.99,Electronics,1
"Ooma - Telo VoIP Home Phone Service - Black""",99.99,Electronics,1
Halo 5: Guardians,39.99,Electronics,1
"Brother - MFC-9130CW Color Wireless Laser Printer - Gray""",279.99,Electronics,1
"Epson - WorkForce WF-7620 Wireless Wide-Format All-In-One Printer - Black""",199.99,Electronics,1
"Duracell - AA Batteries (8-Pack)""",7.49,Electronics,1
"Dark Souls III - Xbox One""",59.99,Electronics,1
"Adobe Premiere Elements 14 - Windows|Mac""",69.99,Electronics,1
"Epson - WorkForce WF-2650 Wireless All-In-One Printer - Black""",69.99,Electronics,1
"BRAVEN - Portable Bluetooth Speaker - Black""",99.99,Electronics,1
Magic Bullet - Blender - Silver/Black,39.99,Electronics,1
"Garmin - Suction Cup Mounting Kit for Nüvi 25x5 and 50 Series GPS""",24.99,Electronics,1
"Seagate - Backup Plus Desktop 8TB External USB 3.0 Hard Drive - Black""",229.99,Electronics,1
TERK - Omnidirectional Flat-Panel HDTV Indoor Antenna - Black,79.99,Electronics,1
"PNY - Attaché 8GB USB 2.0 Flash Drive - Black""",5.99,Electronics,1
"Seagate - Backup Plus Desktop 8TB External USB 3.0 Hard Drive - Black""",229.99,Electronics,1
718037817484,199.99,Electronics,1
"Belkin - YourType Bluetooth Wireless Keypad for Apple® iMac®, Mac Pro® and MacBook® - Aluminum""",49.99,Electronics,1
"Adobe Premiere Elements 14 - Windows|Mac""",69.99,Electronics,1
Shark - Rocket DeluxePRO Bagless Vacuum - Lavender,189.99,Electronics,1
"Olympus - ME-52 Lavalier Microphone - Black""",19.99,Electronics,1
48231779777,49.99,Electronics,1
"RCA - 4-Device Universal Remote - Black""",16.99,Electronics,1
"Canon - PIXMA MG6821 Wireless All-In-One Printer - Black/Silver""",79.99,Electronics,1
"Chamberlain - MyQ Garage Door Controller - Black""",99.99,Electronics,1
"Speck - CandyShell Inked Case for Samsung Galaxy S7 Cell Phones - Vintage Bouquet Grey/Shocking Pink""",38.99,Electronics,1
"Sony - AM/FM Dual-Alarm Clock Radio - White""",29.99,Electronics,1
"Sony - Passive 3D Glasses - Black""",9.99,Electronics,1
"HP - ENVY Desktop - Intel Core i7 - 16GB Memory - 2TB Hard Drive - Brushed Aluminum""",899.99,Electronics,1
"Philips - 9"" Dual-Screen Portable DVD Player - Black""",129.99,Electronics,1
Cuisinart - Elementals 8-Cup Food Processor - Gunmetal,99.99,Electronics,1
4473000,NA,Electronics,1
"Nespresso - Inissia Espresso Maker - Black""",117.99,Electronics,1
"Canon - PowerShot SX530 HS Digital Camera - Black""",279.99,Electronics,1
"Ooma - Telo VoIP Home Phone Service - Black""",99.99,Electronics,1
"HP - ENVY Desktop - Intel Core i7 - 16GB Memory - 2TB Hard Drive - Brushed Aluminum""",899.99,Electronics,1
"Olympus - ME-52 Lavalier Microphone - Black""",19.99,Electronics,1
Resident Evil 6 - PlayStation 4,19.99,Electronics,1
"Canon - SELPHY CP1200 Wireless Photo Printer - Black""",99.99,Electronics,1
"Canon - PIXMA MG6821 Wireless All-In-One Printer - Black/Silver""",79.99,Electronics,1
1818015,51.99,Electronics,1
